ros_time_sec,sim_time_sec,trajectory_elapsed_sec,UPJ5_position,UPJ5_velocity,UPJ5_acceleration,UPJ6_position,UPJ6_velocity,UPJ6_acceleration
1779803123.212327,0.6620000000000005,0.0,0.421080060395958,0.07218070321002332,0.0,-0.004328607927487026,0.0021983013572645206,0.0
1779803123.219276,0.6640000000000005,0.002,0.4212247751662204,0.07235738513119037,0.08834096058352864,-0.004324243874871849,0.0021820263075889943,-0.008137524837763168
1779803123.2252288,0.6660000000000005,0.004,0.4213674028826199,0.07131385819976091,-0.5217634657147321,-0.004319870854154673,0.0021865103585877697,0.0022420254993877134
1779803123.2319577,0.6680000000000005,0.006,0.42150442221787215,0.06850966762612674,-1.402095286817083,-0.004315468532893682,0.0022011606304958853,0.007325135954057774
1779803123.2378764,0.6700000000000005,0.008,0.4216332716500973,0.06442471611256315,-2.042475756781799,-0.00431103257976045,0.0022179765666157604,0.00840796805993754
1779803123.2436676,0.6720000000000005,0.01,0.4217515887376546,0.059158543778658416,-2.633086166952365,-0.0043065448561924345,0.002243861784007809,0.012942608696024302
1779803123.251051,0.6740000000000005,0.012,0.4218596209665049,0.05401611442514155,-2.5712146767584327,-0.004302032458951148,0.0022561986206431485,0.006168418317669755
1779803123.2568493,0.6760000000000005,0.014,0.42195965208471364,0.05001555910435657,-2.0002776603924888,-0.004297540766165492,0.002245846392827757,-0.005176113907695741
1779803123.2627256,0.6780000000000005,0.016,0.4220489257640792,0.04463683968277378,-2.689359710791397,-0.004293072448753553,0.002234158705969704,-0.005843843429026441
1779803123.268458,0.6800000000000005,0.018000000000000002,0.42212658736361597,0.03883079976838561,-2.903019957194084,-0.004288635532736226,0.0022184580086634237,-0.007850348653140214
1779803123.2741518,0.6820000000000005,0.020000000000000004,0.4221903262919812,0.031869464182615416,-3.4806677928850975,-0.004284225267790828,0.0022051324726988183,-0.006662767982302696
1779803123.28084,0.6840000000000005,0.022000000000000006,0.4222421836400494,0.025928674034099885,-2.9703950742577656,-0.004279853280805042,0.0021859934928932377,-0.00956948990279028
1779803123.2870464,0.6860000000000005,0.024000000000000007,0.4222856767975998,0.021746578775210475,-2.091047629444705,-0.004275438153562362,0.0022075636213397427,0.010785064223252502
1779803123.2929206,0.6880000000000005,0.02600000000000001,0.42232134485132145,0.01783402686081588,-1.9562759571972974,-0.004271002845210522,0.0022176541759200614,0.00504527729015933
