ros_time_sec,sim_time_sec,trajectory_elapsed_sec,UPJ5_position,UPJ5_velocity,UPJ6_position,UPJ6_velocity
1778222453.6806786,8.071999999999365,0.004,0.4130083379862246,0.0005223279214417961,0.0002947372500128835,3.266073135308531e-05
1778222453.694151,8.073999999999366,0.006,0.4130092680758543,0.0004650448148407613,0.00029477432669990604,1.853834351127346e-05
1778222453.6948063,8.073999999999366,0.006,0.4130092680758543,0.0004650448148407613,0.00029477432669990604,1.853834351127346e-05
1778222453.7050347,8.075999999999366,0.008,0.4130099973599497,0.0003646420476870764,0.00029475084118791797,-1.1742755994032909e-05
1778222453.7150176,8.079999999999368,0.012,0.4130106845123163,0.00010185845046674743,0.0002944224621819177,-0.00010907525892929701
1778222453.7248893,8.081999999999368,0.014,0.41301058396208085,-5.0275117748613013e-05,0.0002940792959146672,-0.00017158313362524797
1778222453.734899,8.08599999999937,0.018000000000000002,0.41300940885861914,-0.0003767088337928288,0.00029283199006620807,-0.0003826834822944198
1778222453.7451205,8.089999999999371,0.022000000000000006,0.4130068885554871,-0.0007147970136122037,0.0002899486786103943,-0.0008501023911083132
1778222453.7550185,8.091999999999372,0.024000000000000007,0.4130051216812279,-0.0008834371296047876,0.0002876340927830611,-0.0011572929136665863
1778222453.764893,8.095999999999373,0.02800000000000001,0.41300059521523724,-0.001213263520186692,0.0002771931818547571,-0.003461628971402151
1778222453.774912,8.097999999999374,0.030000000000000013,0.4129978499150638,-0.0013726500867341598,0.0002645398827341937,-0.00632664956028173
1778222453.784974,8.101999999999375,0.034000000000000016,0.4129914109970534,-0.0016881855993416779,0.0002122259295569827,-0.01574975179162564
1778222453.795278,8.105999999999376,0.03800000000000002,0.41298103648286505,-0.0030722345013486875,0.0001067255768152459,-0.03035921361432991
1778222453.8048856,8.107999999999377,0.04000000000000002,0.4129725737863408,-0.0042313482621302596,2.737505203948717e-05,-0.03967526238787936
1778222453.8148694,8.111999999999378,0.044000000000000025,0.41295123726154764,-0.005661818315604729,-0.00019811600007220765,-0.062393053274765214
1778222453.82508,8.11599999999938,0.04800000000000003,0.412925367732748,-0.006711474028544046,-0.0005307617884866918,-0.09053182521834352
1778222453.835157,8.11799999999938,0.05000000000000003,0.4129110628642405,-0.0071524342537590945,-0.0007439456441168674,-0.10659192781508778
1778222453.8449771,8.121999999999382,0.054000000000000034,0.4128797420737544,-0.008059536131256477,-0.0012768925962407017,-0.14253405928811003
1778222453.8552315,8.123999999999382,0.056000000000000036,0.4128626272438477,-0.008557414953351659,-0.001601547570353831,-0.16232748705656463
1778222453.8650255,8.127999999999384,0.06000000000000004,0.4128243052956411,-0.01003793940546899,-0.002378631267153224,-0.20527829811193188
1778222453.8749905,8.131999999999385,0.06400000000000004,0.4127782657336323,-0.012015406561104943,-0.003339753069895301,-0.2522587150696634
1778222453.8849983,8.133999999999386,0.06600000000000004,0.41275209650871125,-0.013084612460529986,-0.0038938837503480956,-0.2770653402263974
1778222453.8950167,8.137999999999387,0.07000000000000005,0.41269261102044774,-0.01550520981506195,-0.005156895186850174,-0.32887171111100777
1778222453.905101,8.141999999999388,0.07400000000000005,0.41262180138625726,-0.01848538539518305,-0.006634181571020851,-0.38296210956964094
1778222453.9151437,8.143999999999389,0.07600000000000005,0.41258149355846363,-0.020153913896809823,-0.007455399414633898,-0.41060892180652375
1778222453.9250567,8.14599999999939,0.07800000000000006,0.4125376888036913,-0.021902377386154612,-0.008331504321261372,-0.4380524533137371
1778222453.9349632,8.149999999999391,0.08200000000000006,0.4124389761653256,-0.02563069801242955,-0.010246705488208961,-0.49231223134773344
1778222453.9448898,8.153999999999392,0.08600000000000006,0.41232448544262634,-0.029638315215527282,-0.012376344095506626,-0.5457019926669979
1778222453.955051,8.155999999999393,0.08800000000000006,0.41226102318193564,-0.03173113034535903,-0.01352047336091261,-0.5720646327029926
1778222453.9650927,8.157999999999394,0.09000000000000007,0.41219321106535883,-0.033906058288397156,-0.014716880439833775,-0.5982035394605819
1778222453.974943,8.161999999999395,0.09400000000000007,0.4120436001408779,-0.03861473646178449,-0.017264720619389187,-0.649803120754567
1778222453.9849753,8.163999999999396,0.09600000000000007,0.41187136055681844,-0.044660197428408474,-0.02001518123096964,-0.6999685108035572
1778222453.995134,8.167999999999397,0.10000000000000007,0.41177503681693495,-0.048161869941748175,-0.02146284470012384,-0.7238317345771006
1778222454.0049083,8.171999999999398,0.10400000000000008,0.4115594207591417,-0.05588975799405406,-0.02449374929641286,-0.7686873188880179
1778222454.0148928,8.173999999999399,0.10600000000000008,0.41143933651525905,-0.06004212194133045,-0.02607279703702893,-0.7895238703080345
1778222454.0250332,8.1779999999994,0.11000000000000008,0.41117361257616547,-0.06851637023319727,-0.029346563882807646,-0.8276771844112266
1778222454.034985,8.181999999999402,0.11400000000000009,0.41087559929127415,-0.07645718007343093,-0.03275781264201576,-0.8607487563571614
1778222454.045033,8.183999999999402,0.11600000000000009,0.41071457653041643,-0.08051138042886412,-0.034508307727037495,-0.8752475425108674
1778222454.0548878,8.187999999999404,0.12000000000000009,0.4103670933337301,-0.08903407949474605,-0.03808503800913156,-0.9000204389912368
1778222454.0649016,8.189999999999404,0.1220000000000001,0.41018014209039905,-0.09347562166552183,-0.03990556349208163,-0.9102627414750358
1778222454.075022,8.193999999999406,0.12600000000000008,0.40977937943904785,-0.1023665094876308,-0.043596566397186995,-0.9264338655717848
1778222454.0855174,8.197999999999407,0.1300000000000001,0.40934449564874625,-0.1108833086936044,-0.04733515663170548,-0.9369196768504551
1778222454.0950053,8.199999999999408,0.1320000000000001,0.40911387995706955,-0.1153078458383586,-0.049215344532680505,-0.9400939504875113
1778222454.10498,8.201999999999408,0.1340000000000001,0.4086255692528775,-0.12435067090851444,-0.052984176930756924,-0.9424824386943454
1778222454.1150122,8.20599999999941,0.1380000000000001,0.4083677166129324,-0.12892631997256193,-0.054867758578439944,-0.9417908238415105
1778222454.1256702,8.209999999999411,0.1420000000000001,0.4078244789915823,-0.13810359279946613,-0.058621443110643996,-0.9369253709095483
1778222454.1350846,8.211999999999412,0.1440000000000001,0.4075391190834905,-0.14267995404590994,-0.06048721764899491,-0.932887269175455
1778222454.1453469,8.215999999999413,0.1480000000000001,0.4069411287226401,-0.15176037979126336,-0.06418694458445508,-0.9219840329840449
1778222454.1550949,8.217999999999414,0.1500000000000001,0.40662862775599673,-0.15625048332169417,-0.06601752061244759,-0.9152880139962529
1778222454.1649656,8.221999999999415,0.1540000000000001,0.4059770149540294,-0.1651061280350643,-0.06963301060836766,-0.8998624481123388
1778222454.1751308,8.223999999999416,0.1560000000000001,0.4056380839324511,-0.16946551078914251,-0.07141566169886605,-0.8913255452491959
1778222454.1849961,8.227999999999417,0.16000000000000011,0.4049343959514969,-0.17806021489987195,-0.0749300848284513,-0.8743801199543764
1778222454.1951077,8.229999999999418,0.16200000000000012,0.4045698071451036,-0.1822944031966536,-0.07666202801863273,-0.8659715950907122
1778222454.2050002,8.23399999999942,0.16600000000000012,0.40381556446971406,-0.19063522944815312,-0.08007580630660294,-0.8492832130836081
1778222454.2151997,8.23599999999942,0.16800000000000012,0.4034260809599991,-0.19474175485749043,-0.08175781339515342,-0.8410035442752462
1778222454.2249131,8.239999999999421,0.17200000000000013,0.402622815009404,-0.20282724395951235,-0.08507249510180388,-0.8245738151693949
1778222454.2349021,8.241999999999422,0.17400000000000013,0.40220920220573075,-0.20680640183663007,-0.08670534310065894,-0.816423999427528
1778222454.2462003,8.245999999999423,0.17800000000000013,0.4013584213391177,-0.2146471048475163,-0.08992344967394338,-0.8007355701706989
1778222454.254952,8.247999999999424,0.18000000000000013,0.40092137963270436,-0.2185208532066729,-0.09151097488351838,-0.7937626047875036
